content,score,upvotes
əladı,3,0
belə danaaa,5,0
necə əldə etmək olar kartı,5,0
lazimli praqramdi,5,0
gözəldi ugurlar,5,0
yaxşıdı,5,0
yaxşıdır,5,0
çox pis tətbiqdi bunu yaradanda işçilərdə işlərini bacarmırlar bütün adamən əsəbləri korlanır avara  yoldan keçən danışığını bilməyən  mədəniyyəti olmayan sürücüləriniz var guya bu yazdığım nəzərə alınacaq keşki əlimdə olsada bu boltu yaradanla görüşüb bu tətbiqin mecə əsəb korlayan və yoldan keçən avara insanların işlədiyi sürücüləri olan bir tətbiq olduğunu deyərdim bir sözlərim 99 sürücülərə aiddi düşününki sizində taksi gözdəyən ailəniz var və onlara sizin kimi xidmət edirlər,1,1
əla,1,0
çox gözəl və sərfəli bir praqramdir hamıya tövsiyə edirəm ,5,0
səviyyəsizlik,1,2
əla proqramdırbütün işləri asanlaşdırır,5,0
əla proqramdi,5,0
əla,5,0
qax filialına boyuk təəkkürlər çox razı qaldım,5,0
mükəmməl applikasiyadır,5,0
salam yığdığımız bonuslarla kataloqdan yiğdiğimizin dəyərində nəsə almaq olar cavablandırsaz sevinerem,4,15
yevlax filialindan qosuldum,5,0
super proqramıdır ,5,0
kart əldə etdim ama pin kod teyin edə bilmirəm,2,4
əla,5,1
əladı,5,0
qəşəy proqramdi,5,0
həmd edirəm,5,0
əla,5,0
yaxsi,5,0
salam menim umico kartim var online tetbiqden men nece gore bilerem ne qeder bonusum oldugunu,5,3
güncəlləmə tez tez gəlir,1,0
super proqramdi,5,0
qiyamətlər həddən artıq bahadır omeqa taksi xidmətinin 150 azn apardığı yolu bolt 358 aznə aparır mən yenədə 2azn fərqə baxmayaraq sizi seçdim amma bu bahaçılığın səbəbini bilmək isdərdim zəhmət olmasa açıqlayın hə birdə hələ 4 endirimlə 358 edir çox təəssüf edirəm,1,1
yaxşı,5,0
cox xoşma gəldi həmşə bələ olun nar  ayləsi köməylik edin dahada sizə yaxin olaq ,5,0
hər şey coooox eladi,5,1
salam neçə vaxtdırki tətbiqdən istifadə edə bilmirəm ancaq yazılırki hazırda server işləmir bu problemi düzəltsəz çox yaxşı olar,2,0
təşəkürllər ,5,0
çox sağolun zəhmət çəkmisiz zəhmət çəkənlərə qiymət vermək borcumudur,5,3
əla ən sərfəli və surətli,5,2
internetsiz olsa yaxşı olar,5,0
salamkreditin ödeniş cedveli yoxdurxahiş edirem nezere alinesas borcu gosterir yalniz,4,0
azərbaycandan kənarda işləməməsi qəribədir,5,0
yaxşıdı,2,0
mukəmməl,5,0
nar mobile çöküb heçnə üçün istifadə edə bilmirəm,1,55
yaxşıdır bəyənirəm toyların olmayan vaxtıdır bu aralar pulları tez qaytarsaniz yaxsi olarxahiş edirəm,5,0
əladı gözəll,5,0
yaxşı,5,0
islemir qeydiyatdan keçmir 10 defe calisdim cinnve nar nömre ile qeydiyyata hetta telefonuda yandirib sondururem duzelmir,1,3
yaxşı,5,0
əladır amma həftənin 2 günündə çarx çevirmək olsa işid daha yaxşı olardı,5,0
çox gözəldir bəli düşünürəm ki bir çox insanın köməyinə çatır bu proqram ona görədə 5 ulduza layiq bildim məndə,5,1
tesekkurler,5,0
əla,5,1
yeni versiyanı necə yukluyek,5,0
əla,3,0
1 ulduz hələ çoxdu,1,0
her girende parol isteyir her defede ayri ayri parol gonderir azercell olmazki parolu yada saxla duymesini vurmaqla iw hell olsun,3,7
vəzir abdulov,5,0
cox gozel,5,0
əla,5,0
pis deyilpiyve ilə gedər ,4,1
islemir islemir yalandan ne reklam edirsiz ondansa praqrami nizamlayiy qeydiyatdan kece bilek,1,0
çox yaxşıdır açılması belədir nömrəni yazısan sonra qeydiyyata girisən sora kod gəlir girisən birinci kilid vare onu basaısan sonra tək olur altakı itir və birdən hərf u yazısan sonra göndərilən kodu yazısan girisən,5,2
xidmet superdi kreditde ayirsaydiniz lap ela olardi,5,0
tetbiqi rahat istifadesi asandi,5,0
pullu olduğu çox problem deyil esas odur ki bele proqramımız var,5,0
çox gozel,5,0
nfc dicital kart yaratmaq niyə yoxdur ,3,0
eladir,5,1
yaxsidi tez tez ama islemir problem olur onuda aradan qaldirsaz yaxsi olar,5,2
bu bankdan cox raziyam hem mobil tetbiqinden hem de bank filiallarindanbu tetbiqle iwlemek rahat ve serfelidi,5,0
gözəl praqramdı ağlımı itirəcəm indi,5,0
çox gözəl ,5,0
sahil əlizadə,5,0
çox gözəl programdi,5,0
çox yaxşı proqramdır,5,0
əla,5,0
əla,5,0
1000 dən sizə 1,1,0
sağolun,5,0
cox qeseng proqrsmdi,5,0
çox super tətbiqdir,5,0
türkiyeye pul gondermek olur xaiş edirem cavab versez sevinerem,5,0
əla,5,0
əla,5,1
əla,5,0
əla,1,0
tap azı hərkəsə tofsiyə edirəm superdı alqı satqı ücün,5,0
çox gözəl proqramdır axtardığım malı nəinki kitab mağazalarında hətta lalafoda belə tapa bilmədim amma burada tapdım,5,1
ela proqramdi,5,0
siz niye herkesin sualina eyni cavab verirsiz ve men size yazdim cavab gelmedi vallah adinizi bank siyahsinan silsez yaxwi olar,1,0
cox gozel beyendim,5,0
superdi çox beyendim əladı yaxşıdır super bunu sevdim,5,0
eyni yolu bu programnan gedende 2x defe baha yazdı 5 manatliq yolu 2 cidefe gedende 10 manat oldu,1,0
əla proqramdı süret ölçən var velosibet üçün,5,0
əladır,5,0
çox gözəl və rahat,5,0
uzunmüddətdir ki sisteminiz işləmir tətbiqdən istifadə etməyə istəyəndə alınmır error verir 2 həftədən çoxdur ki yazır ki sistemdə düzəlişlər gedir,1,6
çox gözəl,5,0
əladı,5,0
əla,5,0
könüllü,1,0
cox yaxsi,5,0
lazım deyil mene ele ancaq reklam gəlir,1,0
pul kocurmek olmur niye deyir xayis edirəm biraz sonra tekrar edin,1,3
super proqramdır təşəkkür edirəm azercell,5,0
qr kod oxunmadı xətası verir,5,3
her şey gözəldir super,5,0
yaxwidi evden cixmadan isdifade edirik,5,2
çox gözəl,5,1
salam güncəlləmə gəlnəyib amma tətbiqə girəndə güncəlləmə istəyir nağarım köməklik edin,1,0
salam men 2 gundur bir bankma gire bilmirem yazilir ki sistem cavab vermirxayis edrem problemi hell edin,5,0
siz möhtəşəmsiz,5,0
coooox yaxsi yükləməyə dəyər ,5,0
əladır,5,0
cox gozel proqramdi hec hara getmeden surmeye davenuz verirsen,5,0
əla proqramdi,5,0
azercell cox ela operatordu,5,17
di yaxşı görək elanı yerləşdir deyə verdim 5 ulduz,5,1
çox pis xidmətlər sıfır yükləməyin,1,7
çox gözəl proqramdır,5,0
əladı çox tutur əlimizdən,5,0
son 2 3 ayi tetbiq cox pis isleyir bir bank dayanmisdir yazilir tetbiqe daxilolandada atir ,1,0
çıx gözəl proqramdır əhsən ,5,0
salam dünən yükləmişəm ancaq hec cür istifadə edə bilmirem kod gelir yazıram qəbul etmir qeydiyyat yazıram fırlanır acmır bir sözlə sistem işləmir axı,1,0
əla,5,0
çox gözəl bir tətbiqdir təşəkkürlər azercell,5,0
çox gözəl tətbiqdir,5,0
yaxsi,5,0
əla,5,0
elşad,5,0
gözəldir,5,0
6zeuxtuaue  pulsuz 1 gediş 10 azn  superdii,5,0
əladır,5,1
əə bu gədəbəyədə boyuk qaramurat kəndində vayfay çəkindəə eh,4,0
çox rahatdır,5,1
lçox yaxşı praqramdı çox razıyam,5,0
son zamanlar donur teztez,3,0
əla,5,0
əla,5,0
unibank kimisi yoxdu,5,0
salam nə zaman oyuna pul vurmaq gələcək gəlsəydi çox yaxşı olardı sevinərdim,5,0
əladı istifadəsidə rahatdı,5,0
super praqramdi,5,0
çox yaxşıdıistədiyim məlumatlara baxa bilirəm buda məni qani edirtəşəkkürlər sizə,5,1
əla,5,0
gələn yoxdu,1,0
qeydiyyatdan kece bilmirem komek ede bikersiz,5,0
əladı,5,0
əla,5,0
saatli əla işlətir amma yüklənmir,5,0
əla praqramdi pul kocende mesaj gəlir,5,0
çox pis xidmət sıfır vaxt itkisindən başqa bir şey deyil məhsulu sabah çatdıracağıq deyədeyə 45 günüm getdi axırda sifariş ləğv olundu ki bəs bu məhsuldan yoxdur yoxdursa nəyə 4 günümü alırsız qəti yükləməyin,1,16
çox gözəl,5,0
hər şeyə cashbak versez ela olar,5,0
kapital bankdan mende razıyam tesekur edirəm kapital bank emekdaslarına,5,0
hal hazırda ödəniş etmək çətindir əvvəllər yaxşı idi,2,3
yaxşı tətbiqdi amma bonus qazanmaq üçün gərək hərgün tətbiqə daxil olasan,5,0
salam 1 milyon limona çatmaq üçün gərək 100 min pul xərcləyəsən mən ilk dəfə yükləyəndə bu proqramı mənə 20 minə yaxın limon verdi ama 150 manat xərcləmişəm cəmi 6 min limon  verib belə hesablasaq 2 ilə ancaq 1 milyon limon yığa bilərik yəni demək istəyirsinizki min manatı yuxunuzda görərsiniz heçkimə pul uduşu qismət olmayacaq limon məsələsinə düzəliş etsəniz əla olar,1,0
gözəl proqramdır,5,0
çox möhtəşəmdir,5,1
yaxşı naviqatırdı,5,0
əla,5,0
çox gözəldir zakaz edirəm 3040 dəqiqə ərzində heç ezyet çəkmədən gelir,5,0
qəsənk,5,0
əla,5,0
əladi xosum gəldi,5,0
çox gözələla xidmətmehriban və işlərinin peşəkarı olan bank işçiləri,5,0
evveli praqram yaxsi idi,1,1
kepez filialında 11masada məsləhət gördülər,5,0
çox sjd,5,0
ela ptoqramdir,5,0
ela praqramdi,5,0
əladı,5,0
əla,5,0
kohne puriqram yaxsidi bu nedi,1,0
elədi əllərinizə saqliq,5,11
online iş üçün ingda baxmedli səhifəsinə müraciət edə bilərsiniz,2,0
əla,5,0
mən də çox bəyənirəm amma bir sualım var satış təkcə bakı üzərindəndi mən gıncədəyəm necə istıdiyimi ala bilərəm məsələn mebel,3,0
akart istifade etmemişəm,1,2
salam mən tətbiqi yüklədim qeydiyaatdan keçmək üçün nömrəmi yazdım şifrəni göndərdilər şifrıni yazdım girdim sonra gəldiki şifrə şifrəni təsdiq et birdəki şərtlər və qaydalar qəbul elədim yazırkı şifrə tələb olunan şərtlərə cavab vermir niyə axı şifrəni özləri göndərmişdilər xaiş eliyirəm mənə bir cavab yazın,5,5
maraqli ve serfelineyenirem,5,1
çox əladir,5,0
əla,5,0
çox gözəl proqramdır ,5,0
əla,5,0
çox biabırçı proqramdır kimin əl işidirsə tərgitsin bu işi özünə məşğuliyyət tapsın əksər günlər saatlarla girmək olmur indi də proqrama girəndə deyir yenilə hansı ki yenilənib,1,43
proqram deyil ki bu mazqi xarab eləməkdir əsəb xəstəliyidir unibank kapital bankın tətbiqlərinə bir baxın ya da proqramçını dəyişin,1,0
cox pisssfevral ayinda yuklediym edvnin bu gun 1ayi olurdu qaytarilmali idi helede qayitmiybbbbbb,1,0
super proqramdi,5,0
eladiqoydugumuz ewyalar da satilsa lap ela olar,5,0
əla,5,0
əla super 100 deqiqə pulsuz sms üçün təşəkürlər,5,0
əla,5,0
çox əladir,5,0
bütün istənilənləri edib qeydiyyatdan keçəndən sonra da istifadə etmək mümkün deyil bu proqramı qeydiyyatı bitirəndən sonra isrifadəçi adınızı və şifrənizi daxil edib girin deyir amma daxil edendən sonra da eyniilə qeydiyyata olan hallar tekrarlanır bu dəfə heç sms kodu da gəlmir çox pis,1,0
nfc ödənişin aktivləşdirmək ilə bağlı problem var,4,0
əla,5,0
damadama göl olar,5,7
qeytyatan kecmir bonslarım ala bilmirem,5,5
cox gozel praqramdi super,5,0
salam mənim 230 qəpiklik kuponum var mən getmək istədiyim ünvanı yazanda qiymət 000 azn olur soruçmaq istədiyim mən pulsuz gedişimdə şofer məndən pul istəyəcək,4,23
yaxsidir yukleyib isletmek olar kimisi beyener kimisi yox men isledirem serf edir,5,0
super əla bir proqramdı,5,0
yaxşıdı,4,0
əla,5,0
coox pis qaliq deqiqeler yeni aya elave olunmadi,1,0
cox saq olun cox gozel pul oturanda sms gelir pul cixanda bu gun xakerler pulu kartdan cekmek isdiyirdi bank terefinden bloklandi cicara bilmediler ,5,0
qeydiyatdan keçtim hediyyemi verin,5,0
çox gözəl,5,0
əla proqramdi cox sag olun amma 24 saatliq olmasa yaxwidi bir 2 3 gunluk olsa mence lap yaxwi olar,5,0
əla mən 10 gb verdilər 1 günlük,5,0
zehmet olmasa xais edirem sizden artiq derecede biz havayi gedmiriy odenis olunur bu xiyar basdan bi anormal yolu tanimiyan bi savad suruculuyden anlayisi olmuyan adamlari ise goturmuyun sifaris verilir gedilen yolu tanimirlar bi savadlar harda bi savad narkaman var ise goturmusuz bir zehmet bele seylere baxin camati pulu colde qazanmir,1,0
əla,5,0
əla,5,0
yaxşi olar,5,0
əla ,5,2
sərfəli və rahat,5,2
əla,5,1
6 rəqəmli şif gəlmir,3,0
əla,5,0
çox gözəl,5,0
əla,5,0
gozel weydir,2,1
möhtəşəm,5,0
əla ,5,0
əla tətbiq,5,0
əla,5,0
çox gözəl proqramdır,5,0
ela proqramdi  meslehet gorurem hamiya yalniz ev ve is unvanlarinin yerini xeriteden secmek olsaydi yaxwi olardi bunu nezere alardiz zehmet olmasa tesekkurler,5,7
əla,5,0
əla çox gözeldi ,5,0
əla,5,0
çox gozel proqramdir,5,0
hədiyə çarxı pulsuzdur,5,0
cox ela proqramdir,5,8
çox gözəl,5,0
indi yükləyirəmdeyilənlərə görə yaxşı proqramdıalış veriş etmək istəyərdim,5,0
yaxşdı ama qalığı qaytarmılar250yə gedən yola 3manat versən qaytarmır,3,0
superddi ama biraz tez yüklənsə yaxşı olar,5,0
əla,5,0
köhnə versiyası çox yaxşı idi yeniləndikdən sonra adamın əsəbləri ilə oynayır bir işə yaramır,1,11
yaxsi oyundu,5,0
yaxşı,5,0
könüllü,5,0
çox əladi,5,0
cox pis proqramdi,1,0
əla,5,0
çox əla,5,0
arada acilmir,5,0
sızdən xahiş edirik ki onlayn oyun oynayanda lalafonun reklamını gözümüzə soxmuyun,3,0
salam bir ayda yuklediyim edv balansa oturmur niye xahis edirem cavablandirasiz,1,0
onlayn etibarnamə alırsa ama heç bir işə yaramır gərək natariusun etibarnaməsini natariusda tesdiqledesen gülmelidi,1,0
salam dunen faiq rustemovdan su idman sarayna taksi sifarew etdim4m80qepik idiunvana catanda ise 7m26qepik idiyolda duwduymuz porapkanida iwiqforuda hesablayirsiz,1,12
əla,5,0
sadəcə aiper,5,0
normaldi amma hemiwe istediyni tapa bilmirsen burdan,4,0
salam son zamanlar aznava diqqət yetirilmir təsəvvür et 2 həftə öncə rabitə bankın şamaxı filialına gedirik köhnə yeri görsədir faktiki yerin yox azər türk bank rəqəmsal filalı yazıram a məhərrəmov küçəsi 99 yoxdur aznavda öz əksini tapmır ya dəqiq və doğru qurulsun bu tətbiq yada ləğv edilsin adamın əsəbləri pozulur,1,1
simal filialında xidmetden razi qaldim emekdaslar cox komek oldular,5,1
hec bir ulduz da dusmur usdune vurur san acilmir,1,0
əla,5,0
yaxşıdı,5,0
pis isleyir,1,0
salam men maaw kartimla oz nomremle qeydiyat rdib programi bir muddet evel yukledim daha sonra silmeli oldum indi hemin bu pragrami yeniden yukleyb yeniden nomremle girirem ama yazlir ki nomre basqa karta qeydiyatlidi nece ede blerem zehmet olmasa komek ederdiz,5,0
əladı,5,0
mükəmməl,5,0
ela qeydiyyatdan kecdim size tewekkur sevirem de azercelli,5,8
sürücülər hecdə yaxşı deyil,1,0
əladi,5,0
çox bəyəndim,5,0
çox əla,5,3
salam kartı yoldaşım öz telefonu ilə qeydiyyatdan keçərək götürüb menim üçün indi men tətbiqi yuklemisem ama mene yeni kart təklif edir oz telefonumda o kartin balansina baxa bilmirem nece ede bilerem,3,14
super bir tətbiqdir,5,0
burda niyə qeydiyyatdan keçmək olmur,5,0
sever xətası olur tez tez bəlkə biri təcili ödəmə etməlidi düzəldində zibili,1,0
cox esebiyem heqiqeten bileti seynize saryifsz 2 manata hefde sonu goturem herdefesindede eyni zibildi bu ne sevyesizdi edirs hec neyede duzemeli girmey olmur internet cox zeyifdi,1,0
əla,5,0
çox rahat,5,0
xarici smslər gelmir,1,0
yenilemisem yende gire bilmirem yazirki sehv deyer mecburi yenileme,3,1
bahadır xoşuma gəlmədi,1,0
bəyəndim,5,0
taxşı proqramdır,5,0
əla,5,0
çox bəyəndim,5,0
könüllü,5,0
əla,5,0
eladir,5,0
əla və rahatdır,5,0
yaxsi,4,0
əla,5,0
yaxsi deyil,1,0
əla,5,0
yaxşı,5,0
cox gozel proqramdir,5,0
mükəmməl,5,1
əla,5,0
əla,5,1
bir toxunuşla bank kartları ilə edə bildiyimdən daha artığın edə bilirəmsə niyədə istifadə etməyim həmdə limit və komissiya olmadan istifadəsindən çox razıyam mən hələ indiyə kimi görməmişəmki hansısa bank kartının mobil tətbiqindən bütün bank kartlarına komissiyasız olsun amma m10la bu mümkündür,5,0
əla,5,0
halal olsun lalafoya butun reyleri oxuyub xoş sozler deyir minnetdaram lalafo,5,0
möhtəşəmm unibank dünən mənə 167 bonus göndərdi ,5,0
bu gün kartı götürdüm ama kartda kredit xətti yoxdur,1,2
çox qəsəy,5,3
çox super,1,0
konturum özözünə gedir mənasız mesajlar gəlir zəngimcellə qoşulmaq yada harasa dəfət edir məni ki orada konsert kecirləcək giriş pulsuzduməncə bulara görə çıxır,4,1
çox yaxşıdır,5,0
uber pisdi boltdaki belə dana,3,0
cox ela yaxsi ki bir bankla emektasliq edirem salyan filyalina tesekkur edirem minettaram ya ki var bir bank ,5,0
çox yaxca,5,0
fırıldaqçılıq edirsiz artıq əvvəl daha yaxşı idi mən sifariş verende başqa məbləğ göstərir sürücü də isə başqa məbləğ görsənir camaatı az aldadın bəsdi daha bununla neçenci dəfədir belə olur sistemi zibil etmisiniz təmiz biraz insafınız olsun,1,14
əla,5,0
əla,5,0
salam çox əladı,5,0
çox super proqramdır,5,0
əla çox bəyəndim,5,3
könüllü,5,0
cox gozel cox deyerli tetbiq yaratdiginiz ucun tesekkurler bakcell,5,0
əla,5,0
siz deyeni edim yene deyir tetbiqi yeniden acn,5,0
hələki pis deyil xoşum gəldi,5,0
əla,5,0
yaxşıdı,5,0
cox əla,5,0
belə xeyirli proqramlar gəlsə əla olar qəşəy proqramdır,5,0
əla,5,0
könüllü,5,0
internet paketi çox bahadırbirdə kefiyyətsiz düzəldilsə əla olar,5,0
əla,5,0
yaxşı,5,0
möhtəşəm,5,0
çox gözəl,5,8
odenis cedveli islemir tetbiqinizi duzeldin sexsi kabinetde islemir ilişmisiye allah haqqi,1,0
əla,5,0
əla,5,0
supper çox sağol bakcell  tək seçim aperatorum,5,1
çox ela,5,0
cox gozel tetbiqdi tesekkur,5,0
əla,5,0
əla,5,0
köçürmə gec gec köçur vaxtında köcse yaxşı olar,1,0
işləmir qeydiyyatdan zülümlə keçsəm də proqrama daxil ola bilmirəm xahiş və tələb edirəm proqramı işlək vəziyyətə gətirin,1,0
əla proqramdı bəyəndim,5,0
yaxşıdı bəyəndim,5,0
çox əla proqramdi,5,0
çox gözəl ,5,0
proqrama girə bilmirəm girəm atıb çıxırxayiş edirəm düzəldingirməy olmur nədən,1,0
əla,5,0
pulsuz gediş elde etmek ucun  wgktkadwue  kodu yazaraq 3 gedis   qazanin,5,1
yaxşı demək olar,5,0
mesaja tez baxsalar canları çxacag elə bil,1,0
dosdlar qoşmaqı mənə öyrədə bilərsiz yzında nolar quraşdıra bilmirəm,5,0
möhtəşəm,5,0
şəkil yükləmək olmur məndə istəyirəm ki elan verim yaşıl pilus işarəsinə basıram təsvir yazıram ama şəkil əlavə edə bilmirəm şəkil krafalarının üzərinə basıram heç bir reaksiya vermir,1,6
super bəyəndim ,5,0
ela abi bu cox gozel,5,0
əla,5,0
əla süper bir şbəkədir,5,0
əla,5,0
1xbete faiz cox tutursuz,4,0
230 update edib 250 etməliyəm ki proqramda bəzi funksionallıqlar işləsin amma ən son versiya kimi 230 görünür,2,0
mükəmməldi çox bəyəndim,5,0
salam artıq 2 ilə yaxındır ki umico tətbiqetməsindən istifadə edirəm çox razıyam hamıya da məsləhət görürəm istifadə etməyi,5,18
əladı,5,0
əladır,5,0
əla,5,0
salam tapaz çox gözəl aliş verişdi nə istəsən var,5,0
əla,5,0
eladir,5,0
çox gözəldi,5,0
aca bilmirem,1,0
əla,5,0
çox gozel yaradılması elə olubb,5,3
14 ildi nar istifadecisiyemkohne nomrelere guzestler ve ya kompaniyalar tetbiq olunsa yaxsi olardieziyyetivizi nezere alaraq 5 ulduz,5,1
əla,5,0
əla,5,0
bu gündə həmrəyliyinizi gösterin siz,5,0
əla,5,0
əladır,5,0
salam bir banka daxil olanda uyğun olmayan cihaz yazır root problemi yaranır həll üçün telefonu əvvəlki prorama yenilə yazır mənim telefonumda proqram ümumiyyətlə yenilənmir yenilənmə olmadan durduq yerdə belə bir problem yaranıb yenilənən ancaq bir bank tətbiqidir,5,1
birbankı yüklədim amma açılmır nədən ola bilər,3,0
əla raziyam,5,0
nömrə 1 dir,5,0
əla,5,0
pis deyil,3,0
bu nə proqramdır nömrəni alır kodu gec göndərir çoxxx piss,1,0
əla,5,0
en keyfiyyetsiz proqramdi kankrethesabima qosulmaq isteyirem nomre isteyir temadilar eyy,1,0
salam mən iş yerimi dəyişdim indi maaşımı beynəlxalq bankdan alıram bir bankdan qeydiyyatdan keçirib işlədə bilərəm kartımı və hər hansısa bir əməliyyat zamanı əlavə rüsum tələb edilir başqa bankın kartı olduğu üçün,5,0
əla,5,0
əla,5,0
əladı,5,0
çox pis yüklənmir,1,0
2 gündür proqrama girdiyim halda ekran qaralır proqram açmır bu nə ilə əlaqəlidir ,5,0
bonuslar yükləmək olmur,1,0
əladı,5,0
öz balansın dan basqasina kontur gondərmə də olsa daha yaxsi olar,5,2
super çox sağolun,5,4
salam proqram bu gun niye acilmir,5,0
cox sagolun,5,0
cox əla sistemdir işlərimizə cox kömək edir tam razıyam,5,0
super çox gözəldi,5,0
çox super proqramdır hamıya tövsiyə edirəm amma bu proqramda carxdaki svezvuqu aradan qaldırsaniz yaxşı olar,5,20
super necə lazimdisa elə gostərir,5,1
bizi müharibədə setsiz qoymayan ailəmizlə danşmağmza şərait yaradan yeganə mobil operator azercell sənə sonsuz minnətdarlğmzı bildiririk,5,0
əla,5,0
mən  qeydiyyat dan kese  bilmirəm  bilen var  mənə  köməklik  eləsin,5,0
yaxşı di internet danışıq veriri,5,0
sahibkar hesablarida proqrama daxil etsez ela olar ancaq kartlari qosmusuz,1,0
əla,5,1
perfect   super    ela proqram ela xidmet sadece biraz surucu men oldugum mekani tapmaqda cetinlik cekir xeritede azca problem olur birde gedeceyim yeri yaziram meblegi gosderir proqramdan cixib birde eyni seyi yazanda basqa mebleg gosderir bunlar duzelse yaxsi olar ama bele eladir ,5,13
əla,5,1
əla,5,0
behlul mirzalıyev,4,0
çox gözəl,5,0
səbəbi çox qama qarışıqdı,1,0
tətbiq çox ləng işliyirtəkmilləşdirmək lazımdır,1,2
əla,5,0
ürəkdi,5,0
elə indi yukluyurəm yəqinki yaxşı olar,5,0
əla,5,0
əlanin əlasi,5,0
təşəkkürlər,5,0
beynəlxalq kartı ilə qeydiyyatdan keçmək olarbalansı falan göstərəcək,1,1
niye bu gune qoymusuz bu proqrami evvel ki super idi yeni versiya noldu hecne bilinmir hecne secmek olmur kateqoriya secmek olmurneye baxirsan hamisi kohne elanlardiduzelmiyecek bu kohne proqrami berpa edinniye her wey qariwiqsi kateqoriyaya niye ayrilmir baxirsan ele kohne elanlar yerlewib,1,3
yeni tətbiqinizə 1 qiymət belə çoxdur nfc xidmətdən istifadə edirdim indi problem yaranıb feysbuk  onlayn çatda belə mənə köməklik edə bilmədilər məlumatları götürdülər 10 iş gününə məlumat veriləcək güya dəysin başlarına mənə hər gün lazım olur 10 gün nədir buna görə mən marketdən aldığım 200 manatlıq ərzaqı geri qaytarmalı oldum nfc işləmədi,1,2
rahatdi gozeldir ama bezdirci olur bezen sistem xetasi giriş mehdudiyyeti az edin istifadecilere daha yaxşi olar,3,0
gözəl,5,0
eladi tapaz saytindansa bu yaxsidi tez isleyir,5,0
gozel,5,0
əladır,5,0
xidmətlər əladır,4,0
şuşa,5,0
salam azercell tətbiqini paylaşdım oda yüklədi amma mənə balans vermədi,2,1
yə,5,0
salam cox faydalıdır bu azercell kabinetim,5,1
çox gözəldir,5,0
çox yaxşıdı,5,0
ela indi yükləyirəm hoqa veriyorsun abi bu ne poxdu soxum bun içine nömrə yazıram 9qeder yazir,1,0
yaxsi,5,1
çox gözəl bu proqramı yaratdığınız üçün təşəkkürlər,5,0
əla gözəl bir şəkildə istifadə etmək olur,5,0
salam men seherden 6 adetili kodu gozuleyirem bir defe gelib yaziram gec oldu diye almadi ikincisi gonderirem gelmir neden ola bilerkart mendedir nom yoldasimda oda isde olduqu ucun kartin olan meblegi yoxulamaq isteyirik kod gec yazdim almadi,5,7
superdi dəyər,5,0
salam xayış edirem ki deyerli azerselde çarxda 1510 gb internet hediyeleri olsun,5,0
bunların toruna düşməyin bunlar nəyi var pulumu yedilər başına gələn başmaqçı olar bir bank,1,0
çox gözəl işi asanlaşdırır,5,1
əla,5,0
əla,5,0
superdir maşınla mənə çox kömək edir minnətdaram sizə görsüyüm ən yaxşı naviqasiya proqramıdır bəlkədə yeganə,5,15
əla xidmət üçün minnətdaram,5,0
yoxdu,5,0
slam pul yukleye bilecem yoxsa nece birseydi bu proqram zehmet deilse aydin melumat vererdiz,1,0
əla,5,0
obiri sayıtlardan yaxşıdı çox sağ olun,5,0
əla super birbank necə kart alaq,5,0
öz özünə kartdan çıxış verdi yazıram ancaq deyir serverdə xəta,4,0
çox gozeldi,5,0
əla,5,1
cox ela priqramdir,5,0
yaxşı,5,0
əla,5,0
niye bu praqrami guncelemeden sora bu gune qoymusuz xayis edirem evelki kimi olsunn,1,10
çox zəyif işləyir,3,0
təşəkkürlər proqram bərpa olundu,5,0
yaxşı,5,0
çoxx super bankdir abb mən samir ağdamli bəyənirəm allah prezidentimiz ilham əliyevi qorusun azerbaycandabelə banklar var yaşasin azerbaycan yaşasin abb qarabağ azerbaycandir,5,2
əla,5,0
əla,5,0
çox gözəl yuklemeyiniz tövsiyə edilir,5,0
dünyanın ən pis praqramı heç məmnum qalmadım baxmayaraqki telefonum ən son markadı amma donur çek vurmaq olmur çəlirəm deyir xəta baş verdielə praqramın özünə girəndədə deyir xəta baş verdiçox çox çox çox pisss,1,8
əla,5,0
narazıyam çünki məndə endirim yoxdur niyə ki  çox baha aparır,2,1
cox razi qaldimkuryerde cox sag olsun vaxtinnan tezseliqeli catdirdi mehsulumehriban ve guler uz oldugu ucun ayrica tesekkur edirem,5,0
yaxsi,5,0
salam mən pin kodunu yazıram deyir səhvdir pin unutmusan düyməsindən dəyişlik etmək istəyirəm socket timeout yazılır xaiş edirəm bu problemi həll edin problem həll olundu çox sağolun,5,10
əla  çox köməyi dəyir  bunu yaradanlara alqış düşür,5,0
çox yaxşıdırmüsbət qiymətləndirirəm,5,0
men yaziram nömrəni axrinci rəqəm getmir komek edin xahiş edirəm,3,0
əla,5,0
çox rahatdır,5,1
çox yaxşı,5,0
serf edir,5,0
minnətdaram,5,0
cox mukemmel taksidir ama yazq suruculer ne qazanir ondan onu annamadim ama yenede ucuzluqu serfelidir,5,0
əla,5,0
əla,5,0
evvel 20 deqe bonusa 1000 urek indi qaldirib 5000 urek edibler cox olmadi biraz,1,0
cox pisdi hecbir emelyati icranede bilmiremtecilibuna el atn bezdm uje,1,0
ela tetbiqdi,5,0
bunu lühləyin həyşey var verepesdə var bunu lühləyin çox qəşək dir  adım ayan,5,4
əla,5,0
könüllü,5,0
çox sağolsunlar vaxtında telefonumu gətirdilərcox gözəl xidmətdirtəsəkkurlər,5,12
eladir esas da bu son bonus movzusu daha da eladir,5,0
